timestamp,open,high,low,close,volume
2024-01-01 07:00:00,1.085,1.08509,1.08492,1.08507,2404
2024-01-01 08:00:00,1.08507,1.0853,1.08495,1.08526,7372
2024-01-01 09:00:00,1.08526,1.08533,1.08516,1.08522,3738
2024-01-01 10:00:00,1.08522,1.08553,1.08506,1.08518,3621
2024-01-01 11:00:00,1.08518,1.08521,1.08496,1.08507,5104
2024-01-01 12:00:00,1.08507,1.08514,1.08484,1.08491,5628
2024-01-01 13:00:00,1.08491,1.08493,1.08473,1.08486,1585
2024-01-01 14:00:00,1.08486,1.085,1.08475,1.08493,1879
2024-01-01 15:00:00,1.08493,1.08515,1.08487,1.08487,1309
2024-01-01 16:00:00,1.08487,1.0849,1.08472,1.08476,6962
2024-01-01 17:00:00,1.08476,1.08504,1.08461,1.08481,9726
2024-01-01 18:00:00,1.08481,1.08488,1.0847,1.08485,9296
2024-01-01 19:00:00,1.08485,1.0849,1.08468,1.08486,8458
2024-01-01 20:00:00,1.08486,1.08502,1.08469,1.0848,5884
2024-01-01 21:00:00,1.0848,1.08491,1.08472,1.08486,1049
2024-01-01 22:00:00,1.08486,1.08503,1.08475,1.08496,7561
2024-01-01 23:00:00,1.08496,1.085,1.08484,1.08488,3978
2024-01-02 00:00:00,1.08488,1.08505,1.08484,1.08503,3926
2024-01-02 01:00:00,1.08503,1.08532,1.08502,1.08515,2076
2024-01-02 02:00:00,1.08515,1.08542,1.08506,1.0853,6051
2024-01-02 03:00:00,1.0853,1.08552,1.08499,1.08533,1228
2024-01-02 04:00:00,1.08533,1.08563,1.0852,1.08546,5577
2024-01-02 05:00:00,1.08546,1.0855,1.08528,1.08546,3059
2024-01-02 06:00:00,1.08546,1.08549,1.08538,1.08543,2450
2024-01-02 07:00:00,1.08543,1.08561,1.08537,1.08557,9033
2024-01-02 08:00:00,1.08557,1.08583,1.08555,1.08567,9064
2024-01-02 09:00:00,1.08567,1.08571,1.08557,1.08562,8362
2024-01-02 10:00:00,1.08562,1.08594,1.08544,1.08548,2998
2024-01-02 11:00:00,1.08548,1.08558,1.08546,1.08548,5669
2024-01-02 12:00:00,1.08548,1.08568,1.08531,1.08556,9746
2024-01-02 13:00:00,1.08556,1.08557,1.08536,1.08537,1463
2024-01-02 14:00:00,1.08537,1.08576,1.08534,1.0857,3156
2024-01-02 15:00:00,1.0857,1.08588,1.08557,1.08574,3138
2024-01-02 16:00:00,1.08574,1.08597,1.08557,1.08587,6690
2024-01-02 17:00:00,1.08587,1.08625,1.08575,1.08598,1366
2024-01-02 18:00:00,1.08598,1.08619,1.08585,1.08596,1149
2024-01-02 19:00:00,1.08596,1.08597,1.08569,1.08581,7218
2024-01-02 20:00:00,1.08581,1.08599,1.08579,1.08591,2237
2024-01-02 21:00:00,1.08591,1.08595,1.08577,1.08587,8354
2024-01-02 22:00:00,1.08587,1.08603,1.08546,1.08576,3176
2024-01-02 23:00:00,1.08576,1.08593,1.08561,1.08584,7533
2024-01-03 00:00:00,1.08584,1.08591,1.08558,1.08573,1757
2024-01-03 01:00:00,1.08573,1.0859,1.0855,1.08581,6867
2024-01-03 02:00:00,1.08581,1.086,1.0857,1.08591,3135
2024-01-03 03:00:00,1.08591,1.0862,1.0858,1.0861,6918
2024-01-03 04:00:00,1.0861,1.08631,1.08609,1.0862,4309
2024-01-03 05:00:00,1.0862,1.0863,1.08614,1.08614,9028
2024-01-03 06:00:00,1.08614,1.08638,1.08608,1.08624,5523
